"cuestionario_hogar_id","personas_en_el_hogar","estado_entrevista"
"12009401",4,"1"
"12009901",3,"1"
"12010201",4,"1"
"12100301",6,"1"
"12103901",1,"1"
"12108901",5,"1"
"12110101",3,"1"
"12115901",4,"1"
"12118601",4,"1"
"12119501",2,"1"
"12119601",3,"1"
"12503001",6,"1"
"12504101",7,"1"
"12505601",1,"1"
"12505901",2,"1"
"12507701",4,"1"
"12508701",4,"1"
"12508901",7,"1"
"12511701",5,"1"
"12513601",7,"1"
"12600701",5,"1"
"12603301",2,"1"
"12605001",2,"1"
"12606201",4,"1"
"12606501",3,"1"
"12606701",5,"1"
"12608701",5,"1"
"12609601",7,"1"
"12610501",6,"1"
"12701301",5,"1"
"12704601",3,"1"
"12707701",3,"1"
"12709201",4,"1"
"12710101",5,"1"
"12710501",1,"1"
"12712301",4,"1"
"12714401",3,"1"
"13100301",3,"1"
"13100501",4,"1"
"13101001",4,"1"
"13101101",6,"1"
"13104801",4,"1"
"13105401",9,"1"
"13107401",3,"1"
"13109501",5,"1"
"13111701",4,"1"
"13112201",5,"1"
"13200801",7,"1"
"13201301",4,"1"
"13202001",6,"1"
"13203001",5,"1"
"13203901",3,"1"
"13206901",3,"1"
"13208301",2,"1"
"13209901",3,"1"
"13210501",3,"1"
"13211201",3,"1"
"13400101",3,"1"
"13402201",4,"1"
"13402801",2,"1"
"13403401",5,"1"
"13405901",4,"1"
"13406001",2,"1"
"13407101",4,"1"
"13408101",4,"1"
"13408201",2,"1"
"13409501",5,"1"
"13500501",3,"1"
"13501501",4,"1"
"13501701",5,"1"
"13502201",2,"1"
"13504001",4,"1"
"13504101",3,"1"
"13504701",4,"1"
"13509001",6,"1"
"13509601",2,"1"
"13601701",3,"1"
"13602701",4,"1"
"13603001",4,"1"
"13603301",6,"1"
"13607501",11,"1"
"13608301",4,"1"
"13609301",5,"1"
"13610001",3,"1"
"13611001",5,"1"
"13700901",3,"1"
"13701101",3,"1"
"13702701",3,"1"
"13703201",4,"1"
"13703801",3,"1"
"13706501",3,"1"
"13707801",2,"1"
"13709801",5,"1"
"14102301",2,"1"
"14102601",3,"1"
"14102701",4,"1"
"14102801",2,"1"
"14102901",2,"1"
"14104001",4,"1"
"14104101",3,"1"
"14104201",5,"1"
"14104801",1,"1"
"14110101",3,"1"
"14110201",4,"1"
"14110301",6,"1"
"14110401",2,"1"
"14110501",3,"1"
"14200601",2,"1"
"14200701",3,"1"
"14200801",1,"1"
"14200901",3,"1"
"14205001",4,"1"
"14207901",5,"1"
"14208001",4,"1"
"14208101",6,"1"
"14208201",5,"1"
"14209201",8,"1"
"14213101",8,"1"
"14213201",4,"1"
"14213401",6,"1"
"14302801",3,"1"
"14302901",4,"1"
"14303001",1,"1"
"14303101",5,"1"
"14303201",8,"1"
"14304401",4,"1"
"14304501",5,"1"
"14304601",4,"1"
"14304701",4,"1"
"14304801",1,"1"
"14316701",4,"1"
"14316801",4,"1"
"14316901",2,"1"
"14317201",3,"1"
"14317301",6,"1"
"14405101",5,"1"
"14405201",5,"1"
"14405401",4,"1"
"14405501",4,"1"
"14407101",4,"1"
"14407201",5,"1"
"14407301",4,"1"
"14407401",4,"1"
"14407501",3,"1"
"14408601",6,"1"
"14409401",6,"1"
"14409501",2,"1"
"14409601",5,"1"
"14409701",2,"1"
"14605501",4,"1"
"14605601",4,"1"
"14605801",1,"1"
"14605901",3,"1"
"14606201",3,"1"
