"cuestionario_hogar_id","HV201","indice_riqueza"
"10408401",11,"1.muy_pobre"
"10408501",11,"1.muy_pobre"
"10408601",11,"1.muy_pobre"
"10408701",11,"1.muy_pobre"
"10600101",11,"1.muy_pobre"
"10600201",11,"1.muy_pobre"
"10600301",11,"1.muy_pobre"
"10600401",11,"1.muy_pobre"
"10600501",11,"1.muy_pobre"
"10604901",11,"1.muy_pobre"
"10605001",11,"1.muy_pobre"
"10605101",11,"1.muy_pobre"
"10605201",96,"1.muy_pobre"
"10605301",11,"1.muy_pobre"
"10605901",11,"1.muy_pobre"
"10606001",11,"1.muy_pobre"
"10606101",11,"1.muy_pobre"
"10606201",11,"1.muy_pobre"
"10606301",11,"1.muy_pobre"
"10700101",11,"1.muy_pobre"
"10700201",11,"1.muy_pobre"
"10700401",11,"1.muy_pobre"
"10700501",11,"1.muy_pobre"
"10707601",11,"1.muy_pobre"
"10707701",11,"1.muy_pobre"
"10707801",11,"1.muy_pobre"
"10707901",11,"1.muy_pobre"
"10708001",11,"1.muy_pobre"
"10710601",96,"1.muy_pobre"
"10710701",96,"1.muy_pobre"
"10710801",11,"1.muy_pobre"
"10710901",11,"1.muy_pobre"
"10711001",11,"1.muy_pobre"
"10900101",11,"1.muy_pobre"
"10900201",43,"1.muy_pobre"
"10900301",43,"1.muy_pobre"
"10900401",43,"1.muy_pobre"
"10900501",43,"1.muy_pobre"
"10902401",11,"1.muy_pobre"
"10902501",11,"1.muy_pobre"
"10902601",11,"1.muy_pobre"
"10903001",11,"1.muy_pobre"
"10903101",11,"1.muy_pobre"
"10903201",11,"1.muy_pobre"
"10903301",11,"1.muy_pobre"
"10903401",11,"2.pobre"
"10903501",11,"1.muy_pobre"
"11000101",11,"1.muy_pobre"
"11000301",11,"1.muy_pobre"
"11000401",11,"1.muy_pobre"
"11000501",11,"1.muy_pobre"
"11002001",11,"1.muy_pobre"
"11002901",11,"1.muy_pobre"
"11005401",11,"1.muy_pobre"
"11007501",11,"1.muy_pobre"
"11009501",11,"1.muy_pobre"
"11010901",11,"1.muy_pobre"
"11011101",11,"2.pobre"
"11012001",11,"2.pobre"
"11012301",11,"1.muy_pobre"
"11012801",11,"2.pobre"
"11100101",11,"1.muy_pobre"
"11100601",11,"1.muy_pobre"
"11100701",96,"1.muy_pobre"
"11100801",11,"1.muy_pobre"
"11100901",11,"1.muy_pobre"
